book_id,word_count,book_intro
0,10000,"[0.3074045674135497, 0.19040445996491528]"
1,10001,"[0.6881663606537961, 0.23210403455682738]"
2,10002,"[0.29081387449625007, 0.30539682146096414]"
3,10003,"[0.06606417041631563, 0.3493034436676308]"
4,10004,"[0.192430689135206, 0.35757593261784515]"
5,10005,"[0.42385562454534187, 0.5819207374959361]"
6,10006,"[0.660565695666002, 0.5165153484727073]"
7,10007,"[0.01246502018218587, 0.7676444246435582]"
8,10008,"[0.7987074210976512, 0.5105819238376933]"
9,10009,"[0.3837782663820656, 0.6157761027905019]"
10,10010,"[0.9278049480734134, 0.5910367128606994]"
11,10011,"[0.005453640781708402, 0.48211426239357846]"
12,10012,"[0.34991046668829584, 0.09432681137457877]"
13,10013,"[0.19745193663329885, 0.03380947154028546]"
14,10014,"[0.7662325372139136, 0.04207544609252112]"
15,10015,"[0.5060442404737234, 0.48742544758398676]"
16,10016,"[0.4215850887780024, 0.7848777681072464]"
17,10017,"[0.3077680413528946, 0.27149422241430654]"
18,10018,"[0.015580213686502864, 0.3123778422933866]"
19,10019,"[0.017536786833106, 0.6925868756680459]"
20,10020,"[0.8391721622484293, 0.7350710398636395]"
21,10021,"[0.9176521036963452, 0.23692568841382045]"
22,10022,"[0.8875597662545631, 0.4173629602325455]"
23,10023,"[0.5227463658865338, 0.7580158570881244]"
24,10024,"[0.7293693138206032, 0.8770899491525207]"
25,10025,"[0.15315092372486783, 0.28667695015556305]"
26,10026,"[0.46637597486638127, 0.3659607938044006]"
27,10027,"[0.39397936697702407, 0.922562360683993]"
28,10028,"[0.7518823204238961, 0.6639314940339065]"
29,10029,"[0.23386575861473136, 0.369249521429326]"
30,10030,"[0.4103556871651718, 0.1303096513207661]"
31,10031,"[0.47910971785629863, 0.8724697980313595]"
32,10032,"[0.291156963607492, 0.11795308113837677]"
33,10033,"[0.8395652691454158, 0.7823873896785277]"
34,10034,"[0.324713091189913, 0.8338678812694382]"
35,10035,"[0.5756401918390026, 0.28084611314773067]"
36,10036,"[0.2883850888141447, 0.06438796497362953]"
37,10037,"[0.24209603399565427, 0.43886187735117]"
38,10038,"[0.4032834430586757, 0.2661181857597189]"
39,10039,"[0.5436736399297605, 0.5516893517710318]"
40,10040,"[0.3618706687679494, 0.25894588988494505]"
41,10041,"[0.6127149402364555, 0.7143994246736566]"
42,10042,"[0.6897449854713276, 0.6042772774251238]"
43,10043,"[0.014235406366034598, 0.09234377842564301]"
44,10044,"[0.6073478619726187, 0.861280599744083]"
45,10045,"[0.9135456311670085, 0.6817734489209734]"
46,10046,"[0.37977036799268427, 0.6480123046658081]"
47,10047,"[0.21228268100189807, 0.8274526857849525]"
48,10048,"[0.4120585343444, 0.4548794746853442]"
49,10049,"[0.6967088565978536, 0.8231135139464378]"
50,10050,"[0.019227914850570405, 0.19207077407454276]"
51,10051,"[0.28516742901394976, 0.7403904926096292]"
52,10052,"[0.5111093565233155, 0.6321348516999252]"
53,10053,"[0.17937983836288973, 0.4158005085782557]"
54,10054,"[0.2370960433396393, 0.4018069168153059]"
55,10055,"[0.18497738378853856, 0.479595640223055]"
56,10056,"[0.9982225462059834, 0.9522756372162486]"
57,10057,"[0.6648960946839167, 0.7929768658894525]"
58,10058,"[0.35498067318758886, 0.09736341981912466]"
59,10059,"[0.36813182673964184, 0.9026909977118767]"
60,10060,"[0.31135078166578634, 0.9173896077868087]"
61,10061,"[0.9797780034395707, 0.9757698112852671]"
62,10062,"[0.8128160967406467, 0.8217719206315836]"
63,10063,"[0.3199024693424838, 0.1667754215909254]"
64,10064,"[0.8288152487335817, 0.674048031533296]"
65,10065,"[0.8801509386191388, 0.9052965482146665]"
66,10066,"[0.5471997141187804, 0.7484876031118237]"
67,10067,"[0.9707735265509028, 0.2582659321140828]"
68,10068,"[0.9701962438927466, 0.8847155416832408]"
69,10069,"[0.3649382670965827, 0.19513059847358072]"
70,10070,"[0.9031720764265024, 0.10625492906644507]"
71,10071,"[0.4224061152784345, 0.9963130362694687]"
72,10072,"[0.9307699878373537, 0.7883578791375833]"
73,10073,"[0.697199021770367, 0.1968012556579687]"
74,10074,"[0.8159746614525474, 0.9600579989159019]"
75,10075,"[0.3146089685206682, 0.6945311488862222]"
76,10076,"[0.06442340336745767, 0.7669820143894946]"
77,10077,"[0.3281014545758979, 0.09468245101442663]"
78,10078,"[0.26839320306611036, 0.9150978829645681]"
79,10079,"[0.899436756443061, 0.47680601751176066]"
80,10080,"[0.22782754361361512, 0.0551871211287428]"
81,10081,"[0.2515477475331763, 0.7059887654763268]"
82,10082,"[0.054576895671544, 0.35906917039731334]"
83,10083,"[0.8849123925927931, 0.8504903118953653]"
84,10084,"[0.471551845943891, 0.9387971570887705]"
85,10085,"[0.48159309118108873, 0.5796231806178076]"
86,10086,"[0.4074016082863272, 0.9970905490872485]"
87,10087,"[0.550072682834183, 0.8897752922446466]"
88,10088,"[0.5697670046553386, 0.3516187718023076]"
89,10089,"[0.8735916333552192, 0.27575314057742517]"
90,10090,"[0.05964537552714344, 0.4396468716769678]"
91,10091,"[0.7760585595894686, 0.328529677777609]"
92,10092,"[0.9275609367927938, 0.45318338742973263]"
93,10093,"[0.3285967437294418, 0.42907780243794813]"
94,10094,"[0.0191808566938505, 0.40330836483561705]"
95,10095,"[0.14121493011015507, 0.08711521578760473]"
96,10096,"[0.7698478057832462, 0.27853754159231836]"
97,10097,"[0.6742730813169162, 0.6624696552970452]"
98,10098,"[0.5422344450829544, 0.6659240512186495]"
99,10099,"[0.004889610310674142, 0.40344686754568015]"
100,10100,"[0.8662434604355181, 0.06850930725931215]"
101,10101,"[0.17578040612932666, 0.1231931406122394]"
102,10102,"[0.10178694823129475, 0.8588531002550244]"
103,10103,"[0.2677402681625708, 0.10262031454571074]"
